Start,End,Open
2014-07-07,2014-07-14,635.463
2014-06-30,2014-07-07,602.62
2014-06-23,2014-06-30,602.161
2014-06-16,2014-06-23,592.649
2014-06-09,2014-06-16,655.64
2014-06-02,2014-06-09,629.645
2014-05-26,2014-06-02,571.393
2014-05-19,2014-05-26,446.076
2014-05-12,2014-05-19,438.303
2014-05-05,2014-05-12,434.782
2014-04-28,2014-05-05,430.716
2014-04-21,2014-04-28,497.739
2014-04-14,2014-04-21,414.828
2014-04-07,2014-04-14,461.474
2014-03-31,2014-04-07,462.299
2014-03-24,2014-03-31,562.507
2014-03-17,2014-03-24,630.92
2014-03-10,2014-03-17,636.33
2014-03-03,2014-03-10,562.56
2014-02-24,2014-03-03,606.04
2014-02-17,2014-02-24,614.23
2014-02-10,2014-02-17,681.32
2014-02-03,2014-02-10,824.08
2014-01-27,2014-02-03,884.6
2014-01-20,2014-01-27,871.39
2014-01-13,2014-01-20,860.19
2014-01-06,2014-01-13,936.05
2014-01-01,2014-01-06,754.97
